name,height_in_cm,market_value_in_eur
Erling Haaland,195,200000000.0
Lamine Yamal,183,200000000.0
Kylian Mbappé,180,180000000.0
Michael Olise,180,150000000.0
Pedri,174,150000000.0
Vinicius Junior,176,140000000.0
Vitinha,170,140000000.0
Khvicha Kvaratskhelia,183,140000000.0
João Neves,171,140000000.0
Jude Bellingham,186,130000000.0
Declan Rice,188,120000000.0
Désiré Doué,181,120000000.0
Bukayo Saka,178,110000000.0
Moisés Caicedo,178,100000000.0
Dominik Szoboszlai,187,100000000.0
Julián Alvarez,170,100000000.0
Ousmane Dembélé,179,100000000.0
Jamal Musiala,184,100000000.0
Florian Wirtz,177,100000000.0
Fermín López,176,100000000.0
William Saliba,192,100000000.0
Cole Palmer,185,100000000.0
Morgan Rogers,187,90000000.0
Enzo Fernández,178,90000000.0
Yan Diomande,180,90000000.0
Rayan Cherki,177,90000000.0
Federico Valverde,182,90000000.0
Arda Güler,175,90000000.0
Aleksandar Pavlovic,188,90000000.0
Lautaro Martínez,174,85000000.0
Alexander Isak,190,85000000.0
Estêvão,178,80000000.0
Hugo Ekitiké,190,80000000.0
Nuno Mendes,177,80000000.0
Pau Cubarsí,184,80000000.0
Antoine Semenyo,185,80000000.0
Achraf Hakimi,180,80000000.0
Nico Paz,185,80000000.0
João Pedro,186,80000000.0
Sandro Tonali,181,80000000.0
Warren Zaïre-Emery,176,80000000.0
Willian Pacho,188,80000000.0
Ryan Gravenberch,190,80000000.0
Gabriel,190,75000000.0
Benjamin Sesko,195,75000000.0
Kenan Yıldız,187,75000000.0
Matheus Cunha,183,75000000.0
Martín Zubimendi,181,75000000.0
Bryan Mbeumo,171,75000000.0
Elliot Anderson,179,75000000.0
Victor Osimhen,186,75000000.0
Jérémy Doku,173,75000000.0
Luis Díaz,179,70000000.0
Dayot Upamecano,186,70000000.0
Morgan Gibbs-White,171,70000000.0
Alexis Mac Allister,176,70000000.0
Junior Kroupi,179,70000000.0
Marc Guéhi,182,70000000.0
Josko Gvardiol,185,70000000.0
Raphinha,176,70000000.0
Aurélien Tchouaméni,188,70000000.0
Phil Foden,171,70000000.0
Bradley Barcola,187,70000000.0
Kobbie Mainoo,184,70000000.0
Jurriën Timber,179,70000000.0
Bruno Guimarães,182,70000000.0
Nico O'Reilly,193,70000000.0
Adam Wharton,182,70000000.0
Igor Thiago,190,65000000.0
Viktor Gyökeres,189,65000000.0
Eberechi Eze,178,65000000.0
Martin Ødegaard,178,65000000.0
Alessandro Bastoni,190,65000000.0
Anthony Gordon,183,65000000.0
Lennart Karl,168,60000000.0
Pedro Neto,174,60000000.0
Dani Olmo,179,60000000.0
Luka Vuskovic,193,60000000.0
Jules Koundé,181,60000000.0
Reece James,180,60000000.0
Harry Kane,188,60000000.0
Dean Huijsen,197,60000000.0
Cody Gakpo,193,60000000.0
Rayan,187,60000000.0
Trent Alexander-Arnold,180,60000000.0
Rasmus Højlund,191,60000000.0
Jérémy Jacquet,190,55000000.0
Carlos Baleba,179,55000000.0
Mason Greenwood,181,55000000.0
Rúben Dias,187,55000000.0
Pablo Barrios,181,55000000.0
Riccardo Calafiori,188,55000000.0
Nick Woltemade,198,55000000.0
Kai Havertz,193,55000000.0
Nico Schlotterbeck,191,55000000.0
Iliman Ndiaye,180,55000000.0
Micky van de Ven,193,50000000.0
Castello Lukeba,184,50000000.0
Álvaro Carreras,186,50000000.0
Maxence Lacroix,190,50000000.0
Rafael Leão,188,50000000.0
Maghnes Akliouche,183,50000000.0
Murillo,180,50000000.0
Levi Colwill,187,50000000.0
Abdukodir Khusanov,186,50000000.0
Noni Madueke,182,50000000.0
Matheus Nunes,183,50000000.0
Federico Dimarco,175,50000000.0
Nicolò Barella,175,50000000.0
Rodri,190,50000000.0
Felix Nmecha,190,50000000.0
Alberto Moleiro,171,50000000.0
Ferran Torres,183,50000000.0
Leny Yoro,190,50000000.0
Marcus Thuram,192,50000000.0
Piero Hincapié,183,50000000.0
Victor Froholdt,187,50000000.0
Eduardo Camavinga,182,50000000.0
Marc Cucurella,173,50000000.0
Tijjani Reijnders,178,50000000.0
Alejandro Balde,177,50000000.0
Manu Koné,185,50000000.0
Mateus Fernandes,180,50000000.0
Johan Manzambi,182,50000000.0
Alex Scott,178,50000000.0
Mohammed Kudus,177,50000000.0
Yann Bisseck,196,50000000.0
Omar Marmoush,183,50000000.0
Ayyoub Bouaddi,185,50000000.0
Cristian Romero,185,45000000.0
Can Uzun,186,45000000.0
Tino Livramento,182,45000000.0
Yankuba Minteh,180,45000000.0
James Garner,182,45000000.0
Jarell Quansah,190,45000000.0
Samu Aghehowa,193,45000000.0
Morten Hjulmand,185,45000000.0
Said El Mala,187,45000000.0
